team,year,Firstname,Surname,PAV_total
18,2020, Patrick,Lipinski,8.56
18,2020, Sam,Lloyd,5.55
18,2020, Jack,Macrae,22.14
18,2020, Toby,McLean,8.13
18,2020, Aaron,Naughton,7.07
18,2020, Callum,Porter,0.19
18,2020, Ed,Richards,10.87
18,2020, Josh,Schache,0.84
18,2020, Bailey,Smith,17.39
18,2020, Roarke,Smith,3.03
18,2020, Matt,Suckling,3.47
18,2020, Jackson,Trengove,0.49
18,2020, Laitham,Vandermeer,8.09
18,2020, Mitch,Wallis,13.33
18,2020, Cody,Weightman,1.32
18,2020, Rhylee,West,1.49
18,2020, Bailey,Williams,17.44
18,2020, Easton,Wood,6.59
18,2020, Lachie,Young,0.9
18,2020, Lewis,Young,0.02
17,2020, Brendon,Ah Chee,8.21
17,2020, Brayden,Ainsworth,2.93
17,2020, Oscar,Allen,13.7
17,2020, Tom,Barrass,15.97
17,2020, Jarrod,Brander,4.6
17,2020, Hamish,Brayshaw,0.25
17,2020, Jarrod,Cameron,1.26
17,2020, Tom,Cole,7.42
17,2020, Jamie,Cripps,10.75
17,2020, Jack,Darling,18.44
17,2020, Liam,Duggan,12.58
17,2020, Harry,Edwards,0.19
17,2020, Luke,Foley,0.35
17,2020, Andrew,Gaff,17.32
17,2020, Tom,Hickey,1.75
17,2020, Shannon,Hurn,12.15
17,2020, Mark,Hutchings,1.17
17,2020, Lewis,Jetta,3.91
17,2020, Jamaine,Jones,0.97
17,2020, Tim,Kelly,21.4
17,2020, Josh,Kennedy,14.66
17,2020, Jeremy,McGovern,7.99
17,2020, Nic,Naitanui,27.14
17,2020, Jackson,Nelson,8.32
17,2020, Xavier,ONeill,2.11
17,2020, Jack,Petruccelle,2.54
17,2020, Jack,Redden,8.04
17,2020, Nic,Reid,1.29
17,2020, Josh,Rotham,6.79
17,2020, Liam,Ryan,16.9
17,2020, Will,Schofield,1.22
17,2020, Dom,Sheed,18.23
17,2020, Brad,Sheppard,13.7
17,2020, Luke,Shuey,15.11
17,2020, Jake,Waterman,6.01
17,2020, Bailey,Williams,1.32
17,2020, Elliot,Yeo,8.96
